index,index_squared,equidistant_count,prime_factors,mod4_compatible,near_miss_error,largest_pair_value,smallest_pair_value,ratio_range,sum_of_squares
1216265,1479300550225,40,"5 17 41 349 ",1,345061141440,2957144533225,1325917705225,2.230262,118344044018000
32045,1026882025,40,"5 13 17 ",1,186962688,2053086721,981005041,2.092840,82150562000
40885,1671583225,40,"5 13 17 ",1,344497992,3342111721,1529513881,2.185081,133726658000
45305,2052543025,40,"5 13 17 41 ",1,205047696,4104067969,1970738449,2.082503,164203442000
58565,3429859225,40,"5 13 17 ",1,400040256,6858655489,3373170241,2.033297,274388738000
67405,4543434025,40,"5 13 17 ",1,677134536,9072753001,4291167049,2.114286,363474722000
69745,4864365025,40,"5 13 ",1,791337624,9722946025,4515168025,2.153396,389149202000
77285,5972971225,40,"5 13 41 ",1,897245544,11945834209,5887032529,2.029178,477837698000
80665,6506842225,40,"5 13 17 ",1,687752328,13005349681,6231997249,2.086867,520547378000
98345,9671739025,40,"5 13 17 ",1,1210245960,19301267041,9357273289,2.062702,773739122000
99905,9981009025,40,"5 13 ",1,1274581224,19962016369,9891694849,2.018058,798480722000
107185,11488624225,40,"5 13 17 ",1,1985247000,22975586929,11389371841,2.017283,919089938000
111605,12455676025,40,"5 13 17 ",1,1154989896,24875913841,11412862561,2.179638,996454082000
120445,14506998025,40,"5 13 17 ",1,1690600608,28970422849,13504531681,2.145237,1160559842000
124865,15591268225,40,"5 13 17 ",1,1871803200,31180143241,14955088681,2.084919,1247301458000
151385,22917418225,40,"5 13 17 ",1,3303833880,45832387225,22390633225,2.046945,1833393458000
164645,27107976025,40,"5 13 17 ",1,4902678528,54215862649,24804045049,2.185767,2168638082000
173485,30097045225,40,"5 13 17 ",1,3508943232,60147072001,28666891969,2.098137,2407763618000
191165,36544057225,40,"5 13 17 ",1,5689819968,73081012225,33438145321,2.185558,2923524578000
200005,40002000025,40,"5 13 17 ",1,6464195760,80001294025,39202020025,2.040744,3200160002000
213265,45481960225,40,"5 13 17 ",1,3683055408,90919737841,43857992929,2.073048,3638556818000
101065,10214134225,40,"5 17 41 ",1,1487694720,20416123225,9199687225,2.219219,817130738000
128945,16626813025,40,"5 17 41 ",1,2811919440,33243134929,15146963329,2.194706,1330145042000
184705,34115937025,40,"5 17 41 ",1,5975980992,68228052025,29582280025,2.306382,2729274962000
212585,45192382225,40,"5 17 41 ",1,4235985240,90244365649,42683146801,2.114286,3615390578000
254405,64721904025,40,"5 17 41 ",1,8289980160,129443807089,63910368025,2.025396,5177752322000
310165,96202327225,40,"5 17 41 ",1,9901341120,192048162289,93074416561,2.063383,7696186178000
338045,114274422025,40,"5 17 41 ",1,16649168880,228484956001,109002324025,2.096148,9141953762000
385645,148722066025,40,"5 13 17 349 ",1,13516893936,297442616689,146806221409,2.026090,11897765282000
860285,740090281225,40,"5 17 349 ",1,169412484912,1479300550225,663353236225,2.230034,59207222498000
930085,865058107225,40,"5 13 41 349 ",1,155044082256,1730069333041,848813958721,2.038220,69204648578000
1097605,1204736736025,40,"5 17 349 ",1,147151062552,2408713312009,1079822331025,2.230657,96378938882000
1572245,2471954340025,40,"5 17 349 ",1,187293936984,4915962536809,2399261592025,2.048948,197756347202000
1809565,3274525489225,40,"5 17 349 ",1,658468289952,6548025505921,3092712649321,2.117243,261962039138000
2074805,4304815788025,40,"5 41 349 ",1,854365219344,8605392915025,4285914360025,2.007831,344385263042000
2165545,4689585147025,40,"5 17 349 ",1,970897095168,9376793244025,4482336825409,2.091943,375166811762000
2640185,6970576834225,40,"5 17 349 ",1,1002559723056,13901138066929,6743936354281,2.061280,557646146738000
2647165,7007482537225,40,"5 41 349 ",1,803547040560,14008065280225,6904118849761,2.028943,560598602978000
2877505,8280035025025,40,"5 17 349 ",1,1710980583312,16560057054025,7636329818881,2.168589,662402802002000
3162289,10000071719521,40,"13 17 41 349 ",1,1979034638040,19990297044601,8963203687321,2.230262,800005737561680
3791885,14378391853225,40,"5 41 349 ",1,3502409544600,28755172888225,13955566561225,2.060481,1150271348258000
4364245,19046634420025,40,"5 41 349 ",1,3206679025368,38093003834209,18390314522449,2.071362,1523730753602000
5222785,27277483156225,40,"5 41 349 ",1,5881775028792,54528108019225,26646853119481,2.046324,2182198652498000
6367505,40545119925025,40,"5 41 349 ",1,10090250481168,81083847687649,37999667085769,2.133804,3243609594002000
6939865,48161726218225,40,"5 41 349 ",1,7077043543944,96276030841225,45430794816169,2.119180,3852938097458000
